,race,lsat,zfygpa,DOB_yr,zgpa,fulltime,fam_inc,age,gender,parttime,Dropout,pass_bar,tier,gpa
144,0.0,44.0,0.64,69.0,0.22,1.0,5.0,-62.0,0,0.0,0,1.0,6.0,2
145,0.0,32.0,-0.47,69.0,-0.66,1.0,4.0,-67.0,0,0.0,0,1.0,2.0,2
146,0.0,35.0,1.0,68.0,1.55,1.0,3.0,-61.0,1,0.0,0,1.0,2.0,2
148,0.0,42.0,0.53,69.0,0.54,1.0,3.0,-62.0,1,0.0,0,1.0,6.0,2
149,1.0,33.0,-0.14,69.0,-0.66,1.0,4.0,-62.0,1,0.0,0,1.0,4.0,2
150,0.0,26.0,-0.24,68.0,-0.36,1.0,1.0,-61.0,1,0.0,0,1.0,4.0,2
151,0.0,39.0,-1.11,49.0,-0.92,1.0,4.0,-42.0,1,0.0,0,1.0,4.0,2
152,0.0,35.5,1.61,69.0,1.36,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,2
153,0.0,33.0,0.66,68.0,0.14,1.0,3.0,-61.0,0,0.0,0,1.0,4.0,2
155,0.0,42.0,2.07,66.0,2.5,1.0,4.0,-59.0,1,0.0,0,1.0,2.0,2
157,1.0,32.0,0.59,70.0,0.58,1.0,2.0,-63.0,0,0.0,0,1.0,1.0,2
158,0.0,37.0,-0.49,60.0,-0.6,1.0,2.0,-53.0,0,0.0,0,1.0,4.0,2
159,0.0,38.0,-0.11,67.0,0.06,1.0,4.0,-60.0,0,0.0,0,1.0,3.0,2
160,0.0,42.0,-0.84,67.0,-0.28,1.0,4.0,-60.0,1,0.0,0,1.0,3.0,2
161,0.0,40.0,1.22,66.0,1.52,1.0,4.0,-59.0,0,0.0,0,1.0,1.0,2
162,0.0,28.0,0.66,69.0,-0.41,1.0,3.0,-62.0,1,0.0,0,1.0,5.0,2
164,0.0,45.0,-0.73,52.0,-0.83,1.0,4.0,-45.0,0,0.0,0,1.0,6.0,2
165,0.0,35.0,-0.12,69.0,-0.54,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,2
166,0.0,39.0,-0.08,67.0,-0.3,1.0,4.0,-60.0,0,0.0,0,1.0,4.0,2
167,0.0,39.0,0.52,59.0,0.86,2.0,2.0,-52.0,0,1.0,0,1.0,5.0,2
169,0.0,39.0,-0.44,69.0,-0.44,1.0,3.0,-62.0,1,0.0,0,1.0,5.0,2
170,0.0,39.0,0.31,68.0,0.54,1.0,3.0,-61.0,1,0.0,0,1.0,5.0,2
171,0.0,39.0,-0.39,51.0,-1.31,1.0,3.0,-44.0,0,0.0,0,0.0,4.0,2
172,0.0,34.0,0.34,68.0,-0.06,1.0,4.0,-61.0,1,0.0,0,1.0,4.0,2
173,0.0,46.0,-1.33,66.0,-0.67,1.0,5.0,-59.0,0,0.0,0,1.0,6.0,2
174,0.0,45.0,0.0,69.0,0.07,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,2
175,1.0,41.0,-1.1,69.0,-1.61,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,2
176,0.0,32.0,-0.58,61.0,-0.2,1.0,3.0,-54.0,0,0.0,0,1.0,2.0,2
177,0.0,37.0,1.36,69.0,1.38,1.0,4.0,-62.0,1,0.0,0,1.0,4.0,2
178,0.0,42.0,0.69,69.0,0.78,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,2
179,0.0,29.0,0.94,67.0,0.38,1.0,3.0,-61.0,0,0.0,0,1.0,3.0,2
180,0.0,34.0,0.05,69.0,-0.05,1.0,3.0,-62.0,0,0.0,0,1.0,3.0,2
181,0.0,40.0,1.49,68.0,1.57,1.0,3.0,-61.0,0,0.0,0,1.0,3.0,2
182,0.0,41.0,-1.64,69.0,-1.44,1.0,5.0,-62.0,1,0.0,0,1.0,4.0,2
183,0.0,44.0,1.37,68.0,1.4,1.0,4.0,-61.0,0,0.0,0,1.0,6.0,2
185,0.0,36.0,0.22,69.0,-0.36,1.0,4.0,-62.0,0,0.0,0,1.0,4.0,2
186,0.0,31.0,1.35,66.0,1.81,1.0,3.0,-59.0,0,0.0,0,1.0,3.0,2
187,1.0,32.5,-0.84,67.0,-0.61,1.0,2.0,-60.0,1,0.0,0,1.0,5.0,2
188,0.0,40.0,-0.28,70.0,0.14,1.0,3.0,-63.0,0,0.0,0,1.0,5.0,2
189,0.0,36.0,0.34,69.0,0.22,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,2
190,0.0,41.0,-0.17,51.0,0.65,1.0,3.0,-49.0,0,0.0,0,1.0,4.0,2
191,0.0,33.0,0.54,69.0,0.87,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,2
192,0.0,32.0,-0.07,68.0,-0.34,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,2
193,0.0,44.0,0.49,67.0,0.98,1.0,4.0,-65.0,0,0.0,0,1.0,5.0,2
194,0.0,42.0,-0.02,68.0,0.44,1.0,4.0,-61.0,1,0.0,0,1.0,5.0,2
195,0.0,39.0,1.24,69.0,0.59,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,2
196,0.0,48.0,-0.19,68.0,-0.09,1.0,4.0,-61.0,1,0.0,0,1.0,4.0,2
197,0.0,42.0,1.07,69.0,0.37,1.0,4.0,-62.0,0,0.0,0,1.0,4.0,2
198,0.0,38.0,0.56,69.0,0.55,1.0,4.0,-62.0,0,0.0,0,1.0,4.0,2
199,0.0,39.0,0.86,60.0,0.99,1.0,4.0,-53.0,1,0.0,0,1.0,6.0,2
200,0.0,42.0,1.78,65.0,2.14,1.0,4.0,-58.0,0,0.0,0,1.0,6.0,2
201,1.0,46.0,-0.12,67.0,-0.45,1.0,4.0,-60.0,1,0.0,0,1.0,6.0,2
202,0.0,41.0,0.4,61.0,0.28,1.0,4.0,-54.0,0,0.0,0,1.0,5.0,2
203,0.0,39.0,1.08,65.0,0.64,1.0,3.0,-63.0,0,0.0,0,1.0,4.0,2
204,0.0,32.0,1.12,68.0,0.72,1.0,4.0,-61.0,1,0.0,0,1.0,3.0,2
206,0.0,40.0,-0.63,64.0,-0.45,1.0,3.0,-57.0,1,0.0,0,1.0,5.0,2
207,0.0,42.0,1.09,63.0,0.95,2.0,4.0,-56.0,1,1.0,0,1.0,3.0,2
208,0.0,40.5,0.58,68.0,0.72,1.0,4.0,-61.0,0,0.0,0,1.0,5.0,2
209,0.0,41.0,0.25,68.0,-0.57,1.0,3.0,-61.0,0,0.0,0,1.0,4.0,2
210,0.0,38.0,0.38,69.0,-0.3,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,2
211,0.0,33.0,-0.13,57.0,-0.01,1.0,3.0,-55.0,1,0.0,0,1.0,3.0,2
212,0.0,37.0,-0.33,68.0,0.42,1.0,3.0,-61.0,0,0.0,0,1.0,4.0,2
213,0.0,41.0,0.92,67.0,0.86,1.0,4.0,-65.0,1,0.0,0,1.0,5.0,2
214,0.0,37.0,0.06,65.0,-0.02,1.0,3.0,-58.0,1,0.0,0,1.0,4.0,2
215,0.0,39.5,0.37,68.0,-0.65,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,2
216,0.0,39.0,-0.24,56.0,0.22,1.0,2.0,-54.0,1,0.0,0,1.0,4.0,2
217,0.0,33.0,-0.55,69.0,-1.17,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,2
218,0.0,35.5,-0.29,69.0,-0.68,1.0,3.0,-62.0,0,0.0,0,1.0,3.0,2
219,0.0,32.0,1.38,67.0,1.42,1.0,3.0,-60.0,1,0.0,0,1.0,3.0,2
220,0.0,41.0,1.44,69.0,1.83,1.0,4.0,-62.0,1,0.0,0,1.0,4.0,2
221,0.0,34.0,-1.12,50.0,-1.14,1.0,2.0,-43.0,1,0.0,0,1.0,3.0,2
222,0.0,33.0,0.96,65.0,0.97,1.0,2.0,-58.0,0,0.0,0,1.0,5.0,2
224,0.0,41.0,-0.29,68.0,-0.37,1.0,4.0,-61.0,1,0.0,0,1.0,4.0,2
225,0.0,34.0,0.35,67.0,0.76,1.0,2.0,-60.0,0,0.0,0,1.0,5.0,2
226,0.0,31.0,0.22,51.0,0.27,1.0,3.0,-49.0,1,0.0,0,1.0,3.0,2
227,0.0,47.0,-1.49,66.0,-1.03,1.0,3.0,-59.0,1,0.0,0,1.0,6.0,2
228,0.0,37.0,0.45,56.0,1.14,1.0,3.0,-49.0,1,0.0,0,1.0,5.0,2
229,0.0,31.0,-0.18,69.0,-0.44,1.0,4.0,-62.0,1,0.0,0,1.0,2.0,2
230,0.0,31.0,-1.06,69.0,-1.48,1.0,3.0,-62.0,0,0.0,0,1.0,5.0,2
231,0.0,48.0,2.08,68.0,1.45,1.0,5.0,-61.0,0,0.0,0,1.0,4.0,2
232,0.0,47.0,-0.62,62.0,-0.1,1.0,3.0,-55.0,0,0.0,0,1.0,4.0,2
233,0.0,42.0,0.51,69.0,0.93,1.0,3.0,-62.0,0,0.0,0,1.0,2.0,2
235,1.0,34.0,0.64,61.0,0.95,1.0,3.0,-54.0,1,0.0,0,1.0,4.0,2
236,0.0,31.5,0.89,60.0,1.03,1.0,2.0,-53.0,1,0.0,0,1.0,2.0,2
237,0.0,34.0,2.56,66.0,2.18,1.0,3.0,-59.0,1,0.0,0,1.0,3.0,2
238,0.0,46.0,0.47,69.0,0.06,1.0,4.0,-62.0,0,0.0,0,1.0,5.0,2
239,0.0,31.0,-1.54,54.0,-1.86,1.0,3.0,-52.0,1,0.0,0,0.0,4.0,2
240,0.0,36.0,-0.98,58.0,-1.12,1.0,4.0,-51.0,1,0.0,0,1.0,3.0,2
241,0.0,46.0,-0.17,69.0,0.39,1.0,4.0,-62.0,0,0.0,0,1.0,6.0,2
242,0.0,43.0,1.67,63.0,1.65,2.0,4.0,-61.0,0,1.0,0,1.0,3.0,2
243,0.0,46.0,0.81,65.0,1.25,1.0,4.0,-58.0,1,0.0,0,1.0,5.0,2
244,1.0,22.0,-0.37,71.0,-0.48,1.0,4.0,-64.0,1,0.0,0,0.0,3.0,2
245,0.0,32.0,0.07,58.0,0.4,2.0,3.0,-51.0,0,1.0,0,1.0,5.0,2
246,0.0,38.0,-0.3,65.0,-0.26,2.0,2.0,-58.0,1,1.0,0,1.0,4.0,2
247,0.0,48.0,0.58,68.0,0.3,1.0,4.0,-66.0,0,0.0,0,1.0,6.0,2
248,0.0,38.0,0.86,69.0,0.4,1.0,3.0,-62.0,0,0.0,0,1.0,4.0,2
249,0.0,33.0,-0.88,67.0,0.36,2.0,3.0,-60.0,0,1.0,0,1.0,4.0,2
250,0.0,42.0,-0.31,67.0,0.08,1.0,3.0,-60.0,1,0.0,0,1.0,4.0,2
251,1.0,38.0,-0.6,66.0,-0.75,1.0,3.0,-59.0,1,0.0,0,1.0,4.0,2
252,0.0,42.0,0.54,69.0,-0.11,1.0,5.0,-62.0,1,0.0,0,1.0,5.0,2
253,0.0,38.0,-0.06,69.0,0.31,1.0,4.0,-62.0,0,0.0,0,1.0,5.0,2
255,0.0,39.5,-0.52,69.0,-0.29,1.0,4.0,-62.0,0,0.0,0,1.0,4.0,2
256,0.0,29.0,0.85,69.0,0.84,1.0,4.0,-62.0,0,0.0,0,1.0,2.0,2
257,1.0,30.0,-1.6,69.0,-1.97,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,2
259,0.0,42.0,-0.52,68.0,-1.36,1.0,5.0,-66.0,0,0.0,0,1.0,6.0,2
260,0.0,36.0,0.22,70.0,0.61,1.0,3.0,-68.0,1,0.0,0,1.0,3.0,2
261,0.0,37.0,0.87,69.0,0.81,1.0,3.0,-62.0,1,0.0,0,1.0,4.0,2
262,1.0,38.0,0.89,63.0,0.77,1.0,3.0,-56.0,0,0.0,0,1.0,5.0,2
263,0.0,45.0,0.08,67.0,-0.22,1.0,3.0,-60.0,0,0.0,0,1.0,5.0,2
264,0.0,43.0,-0.35,66.0,-0.31,1.0,1.0,-59.0,1,0.0,0,1.0,4.0,2
265,0.0,37.0,1.34,52.0,0.8,2.0,4.0,-45.0,1,1.0,0,1.0,3.0,2
266,0.0,39.0,0.89,66.0,0.89,1.0,4.0,-59.0,1,0.0,0,1.0,5.0,2
267,0.0,38.0,-0.13,60.0,0.72,1.0,4.0,-53.0,0,0.0,0,1.0,4.0,2
268,0.0,30.0,-1.75,69.0,-2.22,1.0,5.0,-62.0,1,0.0,0,1.0,3.0,2
269,0.0,33.0,0.14,54.0,-0.08,1.0,4.0,-52.0,1,0.0,0,1.0,3.0,2
270,0.0,39.0,1.83,53.0,1.69,1.0,3.0,-46.0,1,0.0,0,1.0,4.0,2
271,0.0,42.0,-0.27,68.0,0.18,1.0,4.0,-66.0,0,0.0,0,1.0,3.0,2
272,0.0,36.0,-0.87,58.0,-1.34,1.0,3.0,-51.0,0,0.0,0,0.0,4.0,2
273,0.0,30.5,0.73,69.0,0.46,1.0,3.0,-62.0,1,0.0,0,1.0,2.0,2
274,0.0,36.0,-1.45,67.0,-0.93,2.0,4.0,-60.0,1,1.0,0,1.0,3.0,2
275,0.0,45.0,0.9,69.0,0.7,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,2
276,0.0,29.0,-0.71,68.0,-1.23,1.0,5.0,-61.0,0,0.0,0,1.0,3.0,2
277,0.0,43.0,0.28,65.0,0.71,1.0,5.0,-58.0,0,0.0,0,1.0,3.0,2
278,0.0,48.0,0.71,68.0,0.51,1.0,4.0,-61.0,0,0.0,0,1.0,6.0,2
279,0.0,35.5,0.65,69.0,1.56,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,2
280,0.0,40.0,0.8,69.0,-0.03,1.0,3.0,-62.0,1,0.0,0,1.0,5.0,2
281,0.0,40.0,0.12,66.0,-0.28,1.0,2.0,-59.0,1,0.0,0,1.0,4.0,2
282,0.0,38.0,2.54,66.0,2.64,2.0,1.0,-59.0,1,1.0,0,1.0,5.0,2
